Código;Nome;Categoria;Referência;Preço;Preço de venda;Em promoção;Estoque;Disponível;URL imagem;URL produto;Descrição
81;1 - Porta Figurinhas (Ate 400 Figurinhas);ACESSÓRIOS;;59.90;59.90;NAO;5;SIM;https://images.tcdn.com.br/img/img_prod/1457323/caixa_colecionador_amarela_1_20260409152635_ed0d7be479ae.jpg;https://www.mgafigurinhas.com.br/souvenirs/caixa-colecionador-amarela;Guarde suas coleções com estilo e paixão pelo futebol brasileiro com a Caixa Colecionadora Amarela oficial CBF. Projetada para fãs que valorizam organização ...
91;Almofada Copa do Mundo Aguia;ACESSÓRIOS;;55.00;55.00;NAO;3;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_aguia_1_20260413155542_f1beba261fa2.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-aguia;"Almofada temática Copa do Mundo com estampa de águia USA, ideal para fãs do futebol e decoração divertida. Confortável e resistente, perfeita para torcer com estilo e energia."
95;"Almofada Copa do Mundo Águia Lavável, Canetinhas Inclusas";ACESSÓRIOS;;36.00;36.00;NAO;1;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_guia_lavvel_canetinhas_incl_1_20260413155844_3271785a9b98.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-aguia-lavavel-canetinhas-inclusas;"Almofada temática da Copa do Mundo com desenho de águia para colorir, lavável e reutilizável. Inclui canetinhas para personalizar. Ideal para crianças e fãs de futebol."
89;Almofada Copa do Mundo Alce;ACESSÓRIOS;;55.00;55.00;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_alce_1_20260413155357_5ea913314118.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-alce;"Decore com estilo a sua paixão pelo futebol com a Almofada Copa do Mundo Alce. Estampa vibrante, toque macio e ideal para fãs que querem conforto e diversão."
93;"Almofada Copa do Mundo Alce Lavável, Canetinhas Inclusas";ACESSÓRIOS;;36.00;36.00;NAO;1;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_alce_lavvel_canetinhas_incl_1_20260413155729_030944bda3a2.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-alce-lavavel-canetinhas-inclusas;"Almofada temática da Copa do Mundo, lavável e com canetinhas para pintar. Ideal para crianças se divertirem personalizando e decorar ambientes com criatividade e praticidade."
87;Almofada Copa do Mundo Tigre;ACESSÓRIOS;;55.00;55.00;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_tigre_1_20260413155244_d79f17a0453f.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-tigre;"Almofada Copa do Mundo com estampa de tigre jogando futebol, perfeita para decorar quartos infantis com tema esportivo. Conforto e diversão para os pequenos torcedores."
97;"Almofada Copa do Mundo Tigre Lavável, Canetinhas Inclusas";ACESSÓRIOS;;36.00;36.00;NAO;1;SIM;https://images.tcdn.com.br/img/img_prod/1457323/almofada_copa_do_mundo_tigre_lavvel_canetinhas_inc_1_20260413155947_fe81422a9099.jpg;https://www.mgafigurinhas.com.br/souvenirs/almofada-copa-do-mundo-tigre-lavavel-canetinhas-inclusas;"Almofada temática Copa do Mundo com estampa de tigre para colorir. Lavável, acompanha canetinhas coloridas para diversão criativa. Ideal para crianças e fãs de futebol."
11911;Boneco Surpresa Ballers Fifa Copa Do Mundo 2026 Oficial;ACESSÓRIOS;;139.90;139.90;NAO;50;SIM;https://images.tcdn.com.br/img/img_prod/1457323/boneco_surpresa_ballers_fifa_copa_do_mundo_2026_of_1_20260529002245_8bce4a8597ee.png;https://www.mgafigurinhas.com.br/souvenirs/boneco-surpresa-ballers-fifa-copa-do-mundo-2026-oficial;"Boneco Surpresa FIFA World Cup 2026&trade; Ballers ⚽   Produto oficial licenciado pela FIFA. Colecione os jogadores mais icônicos das seleções do mun..."
83;Chaveiro Bola da Copa;ACESSÓRIOS;;7.00;7.00;NAO;6;SIM;https://images.tcdn.com.br/img/img_prod/1457323/chaveiro_bola_da_copa_1_20260409152757_122ac24b0263.jpg;https://www.mgafigurinhas.com.br/souvenirs/chaveiro-bola-da-copa;"Chaveiro bola da copa com design inspirado na bola oficial, ideal para fãs de futebol. Produto resistente e perfeito para complementar suas chaves com estilo e paixão pelo esporte."
73;Chaveiro Taça da Copa;ACESSÓRIOS;;14.90;14.90;NAO;2;SIM;https://images.tcdn.com.br/img/img_prod/1457323/chaveiro_taa_da_copa_1_20260409151858_0f3cb484ddab.jpg;https://www.mgafigurinhas.com.br/souvenirs/chaveiro-taca-da-copa;"Chaveiro Taça da Copa, perfeito para torcedores e colecionadores. Design detalhado em metal com acabamento dourado, ideal para decorar chaves e mostrar sua paixão pelo futebol."
